	orf1	orf2	orf_pair	delta_prime_median	sd_delta_prime_median	prob_interaction_median	correlation	name1	name2
79	RVBD2193	RVBD2764c	RVBD2193_RVBD2764c	0.0974574378067312	0.083115416833854	0.0022000638356196	0.3754351866588634	ctaE	thyA
80	RVBD2193	RVBD2794c	RVBD2193_RVBD2794c	0.1576763706036683	0.0481700794526892	0.0022442903929452	0.3383513960843415	ctaE	pptT
81	RVBD2193	RVBD3261	RVBD2193_RVBD3261	-0.3339758858140322	0.0692911040507308	0.0023223645499085	0.2187752378387321	ctaE	fbiA
82	RVBD2193	RVBD3682	RVBD2193_RVBD3682	-0.1612018232448257	0.0522156226765617	0.0021803405689074	-0.0396929355192099	ctaE	ponA2
83	RVBD2193	RVBD3795	RVBD2193_RVBD3795	0.1320290372958599	0.117599220336877	0.0022235179362863	0.3562654456636985	ctaE	embB
84	RVBD2200c	RVBD2200c	RVBD2200c_RVBD2200c	-1.094821535260007	0.1352177263466315	0.0059160706035583	1.0	ctaC	ctaC
85	RVBD2200c	RVBD2447c	RVBD2200c_RVBD2447c	0.0463950062362572	0.0816500963861145	0.0021746734128721	0.3000219889432168	ctaC	folC
86	RVBD2200c	RVBD2754c	RVBD2200c_RVBD2754c	-0.7914771597280845	0.1343531084503279	0.003585085923664	0.3501098504957312	ctaC	thyX
87	RVBD2200c	RVBD2764c	RVBD2200c_RVBD2764c	0.1808298165468347	0.1037523040777918	0.0022655817609109	0.3919302713662217	ctaC	thyA
88	RVBD2200c	RVBD2794c	RVBD2200c_RVBD2794c	-0.0216891332234357	0.0685920373947591	0.0021574426405262	0.295350431153394	ctaC	pptT
89	RVBD2200c	RVBD3261	RVBD2200c_RVBD3261	-0.5647070173438444	0.2848157594862358	0.0027542409285552	0.2695014023575952	ctaC	fbiA
90	RVBD2200c	RVBD3682	RVBD2200c_RVBD3682	-0.4078972361763342	0.0575687387587991	0.0024265966072704	0.2047670301402521	ctaC	ponA2
91	RVBD2200c	RVBD3795	RVBD2200c_RVBD3795	0.4650508821564241	0.1255329634493579	0.0027585330989695	0.388466549053247	ctaC	embB
92	RVBD2447c	RVBD2447c	RVBD2447c_RVBD2447c	-2.3025925186519447	0.3753699978800539	0.1939795849776681	1.0	folC	folC
93	RVBD2447c	RVBD2754c	RVBD2447c_RVBD2754c	-0.6731961325074725	0.0759632869416325	0.0030876447875159	0.4980084346872497	folC	thyX
94	RVBD2447c	RVBD2764c	RVBD2447c_RVBD2764c	-0.1357379774109155	0.1076821759717901	0.002170290428536	0.4003085678120864	folC	thyA
95	RVBD2447c	RVBD2794c	RVBD2447c_RVBD2794c	-0.387949409252493	0.0667750795590105	0.0023956255937484	0.368678840902764	folC	pptT
96	RVBD2447c	RVBD3261	RVBD2447c_RVBD3261	-0.4943637361304742	0.1037781586262839	0.0025875049301849	0.2345619020981629	folC	fbiA
97	RVBD2447c	RVBD3682	RVBD2447c_RVBD3682	-0.3359313751253838	0.0670087307015972	0.0023247602217268	0.0775146535852195	folC	ponA2
98	RVBD2447c	RVBD3795	RVBD2447c_RVBD3795	0.567198902883927	0.1139026662001523	0.0030709782602314	0.3816078435087677	folC	embB
99	RVBD2754c	RVBD2754c	RVBD2754c_RVBD2754c	-0.7199527383218552	0.0703346897289279	0.0032653508126794	1.0	thyX	thyX
100	RVBD2754c	RVBD2764c	RVBD2754c_RVBD2764c	-3.588942452741475	0.1102459028141645	0.9959153228118202	0.4979683248606516	thyX	thyA
101	RVBD2754c	RVBD2794c	RVBD2754c_RVBD2794c	-0.5086957901267986	0.0601460234442354	0.0026186898683192	0.5493558098697983	thyX	pptT
102	RVBD2754c	RVBD3261	RVBD2754c_RVBD3261	0.1720169793769483	0.0537426570663437	0.0022571896635262	0.2616578894066415	thyX	fbiA
103	RVBD2754c	RVBD3682	RVBD2754c_RVBD3682	-0.4078509944237161	0.0464527117026254	0.00242652235928	0.1955851007790315	thyX	ponA2
104	RVBD2754c	RVBD3795	RVBD2754c_RVBD3795	-0.3014613321424169	0.0845312826568023	0.0022852654868429	0.4066530009308713	thyX	embB
105	RVBD2764c	RVBD2764c	RVBD2764c_RVBD2764c	-1.826837706052192	0.1628465895864418	0.0389636995939115	1.0	thyA	thyA
106	RVBD2764c	RVBD2794c	RVBD2764c_RVBD2794c	-0.4539250917732889	0.0782104789388419	0.0025066387123266	0.3030508526103259	thyA	pptT
107	RVBD2764c	RVBD3261	RVBD2764c_RVBD3261	0.2086821640837512	0.0842519570907356	0.002294481972454	0.1936221596883862	thyA	fbiA
108	RVBD2764c	RVBD3682	RVBD2764c_RVBD3682	-0.9485459584066064	0.102145236770116	0.0045495566598992	0.2425795052747293	thyA	ponA2
109	RVBD2764c	RVBD3795	RVBD2764c_RVBD3795	0.4748889547769126	0.1121147824177366	0.0027848466744055	0.3787312217115596	thyA	embB
110	RVBD2794c	RVBD2794c	RVBD2794c_RVBD2794c	-3.596647891456404	0.7975012943489536	0.9961165577442962	1.0	pptT	pptT
111	RVBD2794c	RVBD3261	RVBD2794c_RVBD3261	-0.1345306270754854	0.0514880753431227	0.0021698798253017	0.1635653834206215	pptT	fbiA
112	RVBD2794c	RVBD3682	RVBD2794c_RVBD3682	-0.3348481418692917	0.0422126769414091	0.0023234307689702	0.102578143808851	pptT	ponA2
113	RVBD2794c	RVBD3795	RVBD2794c_RVBD3795	-0.7722740682486666	0.1013009831030326	0.0034930475108439	0.2822506616104971	pptT	embB
114	RVBD3261	RVBD3261	RVBD3261_RVBD3261	-0.5748442158485719	0.0959072097881493	0.0027812390117596	1.0	fbiA	fbiA
115	RVBD3261	RVBD3682	RVBD3261_RVBD3682	-0.1487878732785298	0.0440433176922947	0.0021751084585364	0.2196726363994977	fbiA	ponA2
116	RVBD3261	RVBD3795	RVBD3261_RVBD3795	-0.1453450714153672	0.1493899714488253	0.0021737696740492	0.1041539578831229	fbiA	embB
117	RVBD3682	RVBD3682	RVBD3682_RVBD3682	0.7069121299319555	0.0612592536067574	0.003669241888324	1.0	ponA2	ponA2
118	RVBD3682	RVBD3795	RVBD3682_RVBD3795	-0.2606641604566219	0.1069741959333952	0.0022457707853531	0.1185648187126979	ponA2	embB
119	RVBD3795	RVBD3795	RVBD3795_RVBD3795	-0.3715191181533697	0.4256771510433028	0.0023717262113574	1.0	embB	embB
