orf1	orf2	name1	name2	gi_score_exp1	se_exp1	gi_score_overlaps_zero_exp1	gi_score_exp2	se_exp2	gi_score_overlaps_zero_exp2	correlation_exp1	correlation_exp2	prob_interaction_median_exp1	prob_interaction_median_exp2	prob_interaction	prob_aggravating	prob_alleviating	prob_discordant	prob_no_interaction	prob_concordant
RVBD1854c	RVBD2200c	ndh	ctaC	0.67	0.1	False	0.95	0.19	False	0.513	0.49	0.00347	0.00414	0.01207	0.0	0.01207	0.0	0.98793	0.01207
RVBD1854c	RVBD2193	ndh	ctaE	0.68	0.07	False	1.06	0.14	False	0.54	0.57	0.00352	0.00447	0.01205	0.0	0.01205	0.0	0.98795	0.01205
RVBD2447c	RVBD3795	folC	embB	0.57	0.11	False	1.12	0.12	False	0.382	0.208	0.00307	0.00465	0.01142	0.0	0.01142	0.0	0.98858	0.01142
RVBD0392c	RVBD2193	ndhA	ctaE	-1.45	0.06	False	-2.15	0.12	False	0.304	0.165	0.0131	0.01111	0.01113	0.01113	0.0	0.0	0.98887	0.01113
RVBD1025	RVBD1854c	rv1025	ndh	0.55	0.08	False	1.08	0.13	False	0.225	0.031	0.00301	0.00454	0.01089	0.0	0.01089	0.0	0.98911	0.01089
RVBD1822	RVBD2200c	pgsA2	ctaC	0.15	0.1	True	0.85	0.22	False	0.288	0.331	0.00223	0.00392	0.01	0.0	0.00999	1e-05	0.99	0.00999
RVBD1822	RVBD2193	pgsA2	ctaE	0.55	0.06	False	0.76	0.14	False	0.36	0.384	0.00302	0.00373	0.00988	0.0	0.00988	0.0	0.99012	0.00988
RVBD1304	RVBD2794c	atpB	pptT	0.08	0.04	False	0.72	0.09	False	0.319	0.112	0.00219	0.00366	0.00937	0.0	0.00936	0.0	0.99063	0.00936
RVBD0050	RVBD1854c	ponA1	ndh	0.29	0.1	False	0.74	0.16	False	0.183	0.032	0.0024	0.00369	0.0086	0.0	0.0086	0.0	0.9914	0.0086
RVBD2764c	RVBD3261	thyA	fbiA	0.21	0.08	False	0.71	0.09	False	0.194	0.168	0.00229	0.00363	0.0084	0.0	0.0084	0.0	0.9916	0.0084
RVBD1822	RVBD3261	pgsA2	fbiA	0.4	0.05	False	0.61	0.13	False	0.051	0.087	0.0026	0.00349	0.00826	0.0	0.00826	0.0	0.99174	0.00826
RVBD2754c	RVBD3261	thyX	fbiA	0.17	0.05	False	0.62	0.09	False	0.262	0.242	0.00226	0.0035	0.00798	0.0	0.00798	0.0	0.99202	0.00798
RVBD0050	RVBD2447c	ponA1	folC	0.22	0.07	False	0.54	0.09	False	0.14	0.059	0.0023	0.00338	0.00752	0.0	0.00752	0.0	0.99248	0.00752
RVBD0050	RVBD1025	ponA1	rv1025	0.18	0.06	False	0.17	0.09	True	0.194	-0.031	0.00226	0.00307	0.00676	0.0	0.00676	0.0	0.99324	0.00676
RVBD2200c	RVBD2447c	ctaC	folC	0.05	0.08	True	0.65	0.1	False	0.3	0.182	0.00217	0.00354	0.00675	0.0	0.00671	4e-05	0.99325	0.00671
RVBD2193	RVBD2794c	ctaE	pptT	0.16	0.05	False	0.13	0.08	True	0.338	0.043	0.00224	0.00306	0.00654	0.0	0.00653	1e-05	0.99346	0.00653
RVBD2193	RVBD2764c	ctaE	thyA	0.1	0.08	True	0.38	0.1	False	0.375	0.257	0.0022	0.00321	0.00638	0.0	0.00637	1e-05	0.99362	0.00637
RVBD0050	RVBD0050	ponA1	ponA1	0.15	0.05	False	0.08	0.08	True	1.0	1.0	0.00224	0.00304	0.00583	0.0	0.00582	2e-05	0.99417	0.00582
RVBD1304	RVBD2764c	atpB	thyA	-1.07	0.08	False	-0.87	0.09	False	0.336	0.213	0.0056	0.00367	0.00556	0.00556	0.0	0.0	0.99444	0.00556
RVBD0050	RVBD3261	ponA1	fbiA	0.05	0.05	True	0.15	0.08	True	0.116	0.08	0.00217	0.00307	0.00518	1e-05	0.00515	2e-05	0.99482	0.00516
RVBD1822	RVBD2754c	pgsA2	thyX	-0.14	0.05	False	-1.47	0.15	False	0.317	0.246	0.00217	0.00547	0.00511	0.00511	0.0	0.0	0.99489	0.00511
RVBD1854c	RVBD3261	ndh	fbiA	-0.67	1.29	True	-1.26	0.22	False	0.257	0.195	0.00308	0.00464	0.00503	0.0048	0.0	0.00022	0.99497	0.0048
RVBD1822	RVBD2447c	pgsA2	folC	-0.04	0.09	True	0.85	0.12	False	0.293	0.358	0.00216	0.0039	0.00495	0.0	0.0048	0.00015	0.99505	0.0048
RVBD0392c	RVBD2764c	ndhA	thyA	-0.96	0.09	False	-0.65	0.07	False	0.361	0.275	0.00462	0.00334	0.0048	0.0048	0.0	0.0	0.9952	0.0048
RVBD1304	RVBD2447c	atpB	folC	-0.02	0.06	True	0.74	0.08	False	0.387	0.337	0.00216	0.0037	0.00437	0.0	0.00426	0.00012	0.99563	0.00426
RVBD2200c	RVBD2794c	ctaC	pptT	-0.02	0.07	True	0.68	0.1	False	0.295	0.082	0.00216	0.00358	0.00418	0.0	0.00407	0.00011	0.99582	0.00407
RVBD0050	RVBD3795	ponA1	embB	-0.84	0.14	False	-1.92	0.13	False	0.393	0.424	0.00384	0.00852	0.00415	0.00415	0.0	0.0	0.99585	0.00415
RVBD2794c	RVBD3795	pptT	embB	-0.77	0.1	False	-0.25	0.12	False	0.282	0.1	0.00349	0.00305	0.00403	0.00402	0.0	1e-05	0.99597	0.00402
RVBD2200c	RVBD2754c	ctaC	thyX	-0.79	0.13	False	-0.34	0.11	False	0.35	0.157	0.00359	0.00308	0.00377	0.00377	0.0	0.0	0.99623	0.00377
RVBD0392c	RVBD3261	ndhA	fbiA	-0.8	0.06	False	-1.88	0.09	False	0.413	0.444	0.00363	0.00813	0.00375	0.00375	0.0	0.0	0.99625	0.00375
RVBD2754c	RVBD2754c	thyX	thyX	-0.72	0.07	False	-0.07	0.13	True	1.0	1.0	0.00327	0.00302	0.00338	0.00325	0.0	0.00013	0.99662	0.00325
RVBD2764c	RVBD3682	thyA	ponA2	-0.95	0.1	False	-1.0	0.08	False	0.243	0.241	0.00455	0.00391	0.00329	0.00329	0.0	0.0	0.99671	0.00329
RVBD0392c	RVBD1822	ndhA	pgsA2	-0.17	0.05	False	-1.26	0.17	False	0.078	0.13	0.00218	0.00462	0.00303	0.00303	0.0	0.0	0.99697	0.00303
RVBD3682	RVBD3795	ponA2	embB	-0.26	0.11	False	-1.34	0.1	False	0.119	0.234	0.00225	0.00492	0.00294	0.00294	0.0	0.0	0.99706	0.00294
RVBD1025	RVBD1822	rv1025	pgsA2	-0.2	0.06	False	-1.24	0.16	False	0.407	0.481	0.0022	0.00456	0.00277	0.00277	0.0	0.0	0.99723	0.00277
RVBD1854c	RVBD2447c	ndh	folC	-0.67	0.15	False	-0.21	0.17	True	0.417	0.326	0.00309	0.00304	0.00272	0.00268	0.0	3e-05	0.99728	0.00268
RVBD2447c	RVBD2764c	folC	thyA	-0.14	0.11	True	0.95	0.09	False	0.4	0.233	0.00217	0.00414	0.00272	0.0	0.0024	0.00032	0.99728	0.0024
RVBD3261	RVBD3261	fbiA	fbiA	-0.57	0.1	False	-1.51	0.15	False	1.0	1.0	0.00278	0.00562	0.00254	0.00254	0.0	0.0	0.99746	0.00254
RVBD1854c	RVBD3795	ndh	embB	-0.25	0.18	True	0.79	0.15	False	0.365	0.138	0.00223	0.00378	0.00231	0.0	0.00199	0.00032	0.99769	0.00199
RVBD1025	RVBD2794c	rv1025	pptT	-0.12	0.06	False	-1.03	0.09	False	0.342	0.186	0.00217	0.00399	0.00224	0.00223	0.0	1e-05	0.99776	0.00223
RVBD2447c	RVBD2754c	folC	thyX	-0.67	0.08	False	-0.52	0.11	False	0.498	0.406	0.00309	0.0032	0.0022	0.0022	0.0	0.0	0.9978	0.0022
RVBD1025	RVBD2193	rv1025	ctaE	0.43	0.07	False	-0.11	0.1	True	0.312	0.101	0.00267	0.00302	0.00204	0.0	0.00185	0.0002	0.99796	0.00185
RVBD1854c	RVBD2754c	ndh	thyX	-0.04	0.09	True	-1.05	0.23	False	0.329	0.104	0.00216	0.00404	0.002	0.00191	0.0	9e-05	0.998	0.00191
RVBD1854c	RVBD2764c	ndh	thyA	-0.65	0.18	False	-0.92	0.16	False	0.348	0.235	0.00302	0.00376	0.00191	0.00191	0.0	0.0	0.99809	0.00191
RVBD1304	RVBD2200c	atpB	ctaC	-0.65	0.06	False	-0.7	0.11	False	0.428	0.448	0.00301	0.00339	0.00187	0.00187	0.0	0.0	0.99813	0.00187
RVBD2200c	RVBD3261	ctaC	fbiA	-0.56	0.28	False	-0.77	0.1	False	0.27	0.204	0.00275	0.00349	0.00181	0.00181	0.0	0.0	0.99819	0.00181
